GROQ MODELS,COHERE ,SambaNova,GEMINI
deepseek-r1-distill-llama-70b,Command R,Llama 3.1 8B,gemini-2.0-flash
llama-3.3-70b-versatile,Command R7B,Llama 3.1 70B,gemini-2.0-flash-lite
llama-3.3-70b-specdec,Command R+,Llama 3.1 405B,gemini-2.0-flash-thinking-exp-01-21
llama-3.2-1b-preview,,Llama 3.2 1B,gemini-1.5-flash
llama-3.2-3b-preview,,Llama 3.2 3B,gemini-1.5-flash-8b
llama-3.1-8b-instant,,Llama 3.2 11B,
llama3-70b-8192,,Llama 3.2 90B,
llama3-8b-8192,,Llama 3.3 70B,
llama-guard-3-8b,,Llama Guard 3 8B,
mixtral-8x7b-32768,,Qwen 2.5 72B,
gemma2-9b-it,,Qwen 2.5 Coder 32B,
llama-3.2-11b-vision-preview,,,
llama-3.2-90b-vision-preview,,,
